ID,Name,Category,Price,Stock
1,Product 1,Clothing,66.81,40
2,Product 2,Home,355.07,93
3,Product 3,Home,458.33,55
4,Product 4,Toys,387.68,90
5,Product 5,Books,148.0,98
6,Product 6,Books,321.05,7
7,Product 7,Toys,66.35,15
8,Product 8,Clothing,131.59,66
9,Product 9,Toys,484.94,15
10,Product 10,Toys,330.52,91
11,Product 11,Books,396.71,12
12,Product 12,Books,414.96,53
13,Product 13,Books,419.01,10
14,Product 14,Electronics,90.38,85
15,Product 15,Books,424.79,90
16,Product 16,Electronics,347.45,70
17,Product 17,Toys,158.37,82
18,Product 18,Toys,166.64,99
19,Product 19,Clothing,106.21,45
20,Product 20,Electronics,455.0,98
21,Product 21,Clothing,29.94,0
22,Product 22,Electronics,354.9,2
23,Product 23,Clothing,119.28,47
24,Product 24,Electronics,128.56,84
25,Product 25,Toys,189.93,53
26,Product 26,Clothing,435.27,20
27,Product 27,Clothing,134.39,63
28,Product 28,Home,214.76,100
29,Product 29,Toys,109.73,79
30,Product 30,Clothing,435.63,6
31,Product 31,Electronics,198.36,35
32,Product 32,Toys,483.22,53
33,Product 33,Books,497.23,32
34,Product 34,Toys,438.66,64
35,Product 35,Toys,89.27,23
36,Product 36,Books,378.3,92
37,Product 37,Electronics,323.5,43
38,Product 38,Books,132.31,54
39,Product 39,Toys,236.72,68
40,Product 40,Electronics,257.96,30
41,Product 41,Books,191.89,33
42,Product 42,Home,267.22,9
43,Product 43,Clothing,169.59,17
44,Product 44,Home,163.14,81
45,Product 45,Clothing,188.09,56
46,Product 46,Clothing,189.53,90
47,Product 47,Home,388.08,95
48,Product 48,Clothing,218.96,58
49,Product 49,Home,74.25,71
50,Product 50,Books,262.51,19
51,Product 51,Electronics,171.01,49
52,Product 52,Home,101.16,84
53,Product 53,Books,189.53,27
54,Product 54,Home,173.33,10
55,Product 55,Toys,355.03,18
56,Product 56,Books,17.7,97
57,Product 57,Electronics,58.24,56
58,Product 58,Clothing,13.79,52
59,Product 59,Books,84.56,79
60,Product 60,Clothing,312.01,38
61,Product 61,Clothing,291.05,68
62,Product 62,Clothing,75.37,8
63,Product 63,Clothing,267.78,72
64,Product 64,Home,128.12,6
65,Product 65,Toys,304.14,30
66,Product 66,Home,385.74,61
67,Product 67,Home,154.38,4
68,Product 68,Clothing,456.53,71
69,Product 69,Books,275.93,78
70,Product 70,Toys,472.65,89
71,Product 71,Home,47.11,9
72,Product 72,Electronics,215.72,95
73,Product 73,Toys,100.18,74
74,Product 74,Books,56.6,55
75,Product 75,Home,26.55,82
76,Product 76,Toys,343.51,5
77,Product 77,Home,184.84,46
78,Product 78,Books,230.79,65
79,Product 79,Books,176.69,38
80,Product 80,Home,16.87,66
81,Product 81,Home,483.13,65
82,Product 82,Electronics,87.12,50
83,Product 83,Clothing,75.27,59
84,Product 84,Toys,106.35,51
85,Product 85,Books,56.6,28
86,Product 86,Clothing,295.17,50
87,Product 87,Home,92.74,67
88,Product 88,Home,344.6,45
89,Product 89,Toys,182.46,95
90,Product 90,Toys,20.78,88
91,Product 91,Books,141.86,10
92,Product 92,Home,66.17,68
93,Product 93,Books,294.62,33
94,Product 94,Home,307.72,63
95,Product 95,Clothing,494.95,71
96,Product 96,Clothing,305.16,40
97,Product 97,Toys,297.32,72
98,Product 98,Books,493.2,70
99,Product 99,Clothing,175.78,69
100,Product 100,Toys,87.13,17
